BPOS,APP_AMPS,CLMBS,FRNT,ROOF,RH_WNG,LH_WNG,REAR
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,67,134,12.85031985,20.16423794,13.20109874,12.83480014,7.949543335
26,136,406,25.01107186,42.41739663,28.03377796,26.17043026,14.36732329
27,179,764,26.69317,45.27014219,29.9191656,29.20006824,47.91745396
28,183,1130,17.65073147,29.51305081,20.20483986,19.30840599,96.32297187
29,187,1504,9.514223963,15.45381257,10.66406284,10.40775558,140.960145
30,189,1882,7.074309185,11.15273364,7.760564912,7.065765333,155.9466269
31,190,2262,6.10999664,9.340589862,6.702707544,6.102617417,161.7440885
32,197,2656,5.766969015,9.367202055,6.326403924,5.760004077,169.7794209
33,205,3066,5.886999639,9.127522103,6.432552327,6.147157451,177.4057685
34,208,3482,6.128117285,9.35556294,6.404883461,6.120716177,179.9907201
35,208,3898,6.407010851,9.507694504,6.417357256,6.26595473,179.4019827
36,208,4314,6.563696852,10.01458104,6.574296282,6.419191147,178.4282347
37,208,4730,6.943774045,10.80477532,7.09692576,6.793849317,176.3606756
38,212,5154,6.630752254,10.82613319,7.032134084,6.622744099,180.8882364
39,257,5668,7.822110951,12.52832919,8.109645786,7.401471117,221.138443
40,287,6242,8.861291244,14.31433749,9.778204447,8.850589202,245.1955776
41,289,6820,9.32251803,16.62697918,10.52329606,9.31125895,243.2159478
42,292,7404,9.582777514,26.05472951,11.40661871,9.848630318,235.1072439
43,311,8026,9.453764212,40.90124448,11.83628836,10.15052262,238.6581803
44,345,8716,10.71974025,51.90175612,16.10557664,13.38349213,252.8894349
45,354,9424,11.66579809,56.17697385,20.60745015,19.38420673,246.1655712
46,368,10160,12.72463633,57.11996522,33.2119049,34.97368023,229.9698133
47,380,10920,15.16663644,57.40842319,46.14818459,46.91884825,214.3579075
48,393,11706,21.43155134,59.4480501,53.55242077,52.95086251,205.6171153
49,406,12518,29.04493748,62.43043668,58.53503253,57.6693575,198.3202358
50,419,13356,37.55244938,65.28382107,62.66645072,62.42393688,191.0733419
51,434,14224,48.03926283,68.124321,66.70032608,67.26109423,183.8749959
52,446,15116,60.49058739,69.94549756,69.53814195,71.16233986,174.8634332
53,458,16032,74.75002511,71.76518503,71.42712618,74.10589161,165.9517721
54,469,16970,89.77540195,73.6038773,72.69485611,76.06197041,156.8638942
55,480,17930,101.5012068,75.58847444,73.24532491,76.86452532,152.8004685
56,487,18904,106.3538517,76.8340854,72.65740509,75.96463519,155.1900226
57,493,19890,108.8548004,79.52190663,74.25765014,77.47829581,152.887347
58,480,20850,103.8411979,79.51769706,73.85879769,76.71943852,146.0628688
59,469,21788,101.6309112,79.03686084,72.31573422,74.61465463,141.4018391
60,465,22718,100.2540586,79.62798974,72.69223988,74.62663252,137.7990793
61,463,23644,97.96926744,80.37590743,74.16564874,76.11072442,134.378452
62,462,24568,95.41804065,81.24149354,76.45770169,78.40733525,130.4754289
63,451,25470,75.35381298,79.74948396,78.22528565,80.01021514,137.6612023
64,399,26268,61.93095196,71.00204252,71.71542394,73.66734321,120.6842384
65,410,27088,67.6684297,73.18226426,74.63949691,77.04744676,117.4623624
66,417,27922,73.19351183,74.58881716,76.16933464,78.77033615,114.2780002
67,423,28768,78.6497764,75.67615299,76.75005155,79.81378578,112.1102333
68,422,29612,82.33502137,75.27331072,76.14650507,79.06775309,109.1774097
69,421,30454,85.21525687,74.70322802,75.79658346,78.37660767,106.908324
70,416,31286,86.18321871,73.17849582,74.30921744,76.41265069,105.9164173
71,420,32126,89.26390621,73.60412902,74.71686559,76.58242858,105.8326706
72,414,32954,89.811889,72.38294387,73.40008569,74.97430547,103.430776
73,406,33766,89.32900411,70.90532762,71.69349077,73.34625147,100.725926
74,401,34568,88.9815549,69.88503871,70.70389994,72.65483342,98.77467302
75,396,35360,88.43404711,68.91211639,69.81299182,72.10070266,96.74014202
76,398,36156,91.95011992,68.468662,68.95681395,71.6178608,97.00654334
77,400,36956,95.39943018,69.44879535,67.79760017,70.06736942,97.28680488
78,396,37748,95.921115,70.17922989,67.04946822,68.68111078,94.16907613
79,391,38530,93.69256532,70.03290384,67.10214672,68.50002409,91.67236003
80,382,39294,90.43352568,69.0980328,66.90823893,68.10968267,87.45051992
81,378,40050,88.85719069,68.82910972,67.6504489,69.09369646,83.56955424
82,372,40794,86.88825465,68.18989339,68.03125205,69.75085122,79.13974868
83,367,41528,85.62625786,67.77183816,68.3540458,70.39700215,74.85085603
84,359,42246,84.21010891,66.78275752,67.86387118,70.16007986,69.98318253
85,353,42952,83.87321792,66.22189283,67.53727428,69.84043614,65.52717882
86,344,43640,79.3573183,63.30161314,63.92606554,65.94111512,71.4738879
87,365,44370,83.79324009,66.59899213,67.11182433,69.15419399,78.34174947
88,359,45088,83.01611945,65.33445657,66.15739994,67.99487949,76.49714454
89,357,45802,82.59106456,64.51816096,65.40658215,67.13870775,77.34548458
90,355,46512,82.2553545,63.7863979,64.74098009,66.41961023,77.79765728
91,349,47210,81.00769407,62.54325313,63.67653132,65.2323125,76.54020898
92,343,47896,78.49537202,61.51104402,62.80607509,64.31746856,75.87004031
93,330,48556,74.97635106,59.14713711,60.50685102,62.07387443,73.29578638
94,328,49212,75.13446364,58.55539356,59.95498122,61.63430057,72.72086101
95,325,49862,74.27692153,58.11889964,59.41599295,61.0479433,72.14024258
96,322,50506,73.50178991,57.64960179,58.88908601,60.47063011,71.48889218
97,320,51146,73.4885702,57.3830324,58.34189908,59.89497292,70.8915254
98,317,51780,73.2568571,57.10974679,57.55797318,58.99459086,70.08083208
99,314,52408,72.63375311,56.80078199,56.60199131,57.81262088,70.15085272
100,315,53038,72.59695373,57.21094303,56.40479666,57.49140407,71.2959025
101,314,53666,72.18604228,57.44050165,56.24524422,57.20386763,70.92434422
102,314,54294,71.64889482,57.78503223,56.53965574,57.4054218,70.62099541
103,312,54918,70.47448393,57.74063831,56.68427068,57.45001903,69.65058804
104,309,55536,68.96716042,57.42567732,56.85071947,57.49767786,68.25876492
105,307,56150,67.69891244,57.22177797,57.21426062,57.81486451,67.05018447
106,306,56762,60.57149327,57.78237111,58.70021599,59.26006919,69.68585046
107,277,57316,52.91638446,52.53843962,53.92094383,54.50863793,63.11559416
108,279,57874,54.92557304,52.77943088,54.18794356,54.93846836,62.16858416
109,281,58436,56.88356955,52.98005548,54.32833988,55.13367737,61.67435773
110,281,58998,58.31311011,52.80564927,53.97895232,54.88044307,61.02184523
111,283,59564,59.92280244,52.96839639,54.09037263,55.0031181,61.01531043
112,281,60126,60.50398809,52.46898609,53.42096441,54.39542545,60.21063598
113,280,60686,60.95918029,52.05823825,52.89153984,53.85222638,60.23881523
114,282,61250,61.76913468,52.22474572,52.96612938,53.89476423,61.14522599
115,279,61808,61.45130666,51.55300385,52.29871666,53.15509896,60.54187386
116,277,62362,61.21858909,51.05578176,51.88174063,52.69982449,60.14406403
117,275,62912,60.91706531,50.57921657,51.42729744,52.28194518,59.7944755
118,272,63456,60.4278217,49.9631532,50.77297177,51.64678631,59.18926701
119,272,64000,60.68021449,50.04793233,50.60051829,51.41971113,59.25162376
120,270,64540,60.43244505,49.86719917,50.00182494,50.81923171,58.87929913
121,267,65074,59.9416008,49.57791002,49.29843301,49.9833313,58.19872487
122,266,65606,59.76813543,49.69703397,49.07592047,49.64727509,57.81163505
123,265,66136,59.21676693,49.84705616,49.03993719,49.54107221,57.35516751
124,261,66658,57.39332627,49.14429541,48.22978659,48.7045892,57.52800253
125,266,67190,58.02330216,50.18530455,49.44240179,49.8928546,58.4561369
126,269,67728,58.15670867,50.85347756,50.40375546,50.92435282,58.66170549
127,268,68264,57.4109997,50.73496694,50.69498014,51.24919821,57.90985501
128,265,68794,56.37730628,50.17435655,50.43681359,51.13041378,56.8811098
129,267,69328,56.72845508,50.58382047,50.97012955,51.82847449,56.8891204
130,266,69860,56.66196337,50.41356344,50.83766026,51.74343546,56.34337747
131,267,70394,57.15099385,50.6444078,51.02712832,51.97320263,56.20426741
132,264,70922,56.8981627,50.09531723,50.44534709,51.43118497,55.12998801
133,261,71444,56.60696615,49.528403,49.88660591,50.87149934,54.1065256
134,259,71962,56.54536311,49.18119614,49.53572269,50.51072205,53.22699601
135,259,72480,56.59116492,49.05366956,49.2353042,50.20204277,53.91781854
136,263,73006,56.15864295,49.82613119,49.99940543,51.01707637,55.99874406
137,252,73510,54.18782146,47.74278308,47.89448062,48.81153975,53.36337509
138,252,74014,54.48116443,47.72080282,47.8964925,48.78227917,53.11926108
139,250,74514,54.24447677,47.34073244,47.53900369,48.43855905,52.43722806
140,250,75014,54.30518197,47.31232217,47.60932603,48.48051762,52.29265222
141,246,75506,53.50171588,46.60554745,46.88501232,47.74088348,51.26684087
142,246,75998,53.55431759,46.65202563,46.931117,47.78602698,51.07651281
143,242,76482,52.6972549,45.96879583,46.25518013,47.07178089,50.00698825
144,241,76964,52.48906046,45.86068687,46.1577096,46.94675586,49.54578721
145,239,77442,52.09665282,45.60265046,45.86159735,46.63255438,48.80654498
146,240,77922,51.87249849,45.6315152,45.794368,46.51446632,50.18715198
147,239,78400,51.60295967,45.50046734,45.63877145,46.33143103,49.92637051
148,239,78878,51.54466757,45.51969671,45.73999671,46.37284734,49.82279167
149,236,79350,50.77883953,44.96958596,45.25595697,45.9367633,49.05885424
150,235,79820,50.03823173,44.82565662,45.23896401,45.95328319,48.94386446
151,235,80290,50.18964904,44.82148602,45.27936305,45.99088813,48.71861377
152,232,80754,49.63671074,44.26298574,44.74859094,45.4047418,47.94697077
153,231,81216,49.52689926,44.09335197,44.57609854,45.21706349,47.58658673
154,228,81672,48.96424389,43.54534836,44.04413217,44.65442542,46.79185016
155,228,82128,49.09094746,43.60620344,44.08249338,44.67032231,46.55003341
156,227,82582,49.03148204,43.45607604,43.93058663,44.49404093,46.08781436
157,224,83030,48.56942094,42.9493418,43.39634636,43.92042587,45.16446503
158,223,83476,48.54234328,42.87829475,43.28056609,43.78186827,44.5169276
159,218,83912,47.60939837,42.06754956,42.45110969,42.96393408,42.90800829
160,216,84344,47.2046922,41.87651539,42.37866999,42.9024607,41.63766173
161,201,84746,43.14325984,39.24144985,39.99942394,40.5726408,38.04322556
162,195,85136,42.5874122,38.16502104,39.0239551,39.61244034,35.61117132
163,190,85516,41.61098544,37.31728912,38.15690798,38.74189675,34.17292071
164,188,85892,39.80672731,37.2750678,37.87166379,38.41024767,34.63629343
165,183,86258,11.85375981,43.09361654,43.53397376,44.04140393,40.47724596
166,169,86596,1.461410876,42.25047149,42.48140788,42.93702864,39.86968112
167,152,86900,0.997675927,38.17464072,38.41184634,38.71336418,35.70247283
168,138,87176,1.069983224,46.82478134,30.12072232,15.88412269,44.10039042
169,128,87432,1.314884523,62.81468801,3.077950984,1.667443868,59.12503261
170,119,87670,1.85629287,11.5009476,1.507532852,1.803941485,102.3312852
171,108,87886,1.105184466,1.511945003,1.106969181,1.103849702,103.1720516
172,92,88070,0.814952627,0.839104447,0.837749413,0.792548164,88.71564535
173,82,88234,0.680482955,0.720611179,0.719447495,0.679661116,79.19979725
174,71,88376,0.58098525,0.615246073,0.614252539,0.564164589,68.62535155
175,53,88482,0.402605867,0.451426892,0.42697696,0.413946676,51.30504361
176,42,88566,0.32449392,0.334844885,0.334304158,0.314841962,40.69151508
177,30,88626,0.219746079,0.233424999,0.233048051,0.219480685,29.09430019
178,16,88658,0.20502754,0.21779025,0.21743855,0.204779922,15.15496374
179,11,88680,1.183424788,1.187253093,1.122949752,1.11978524,6.386587128
180,11,88702,2.379307982,2.325799641,2.138724559,2.193631774,1.962536044
181,11,88724,2.344421196,2.352005252,2.224617253,2.218348203,1.860608096
182,11,88746,0,0,0,0,0
183,7,88760,0,0,0,0,0
184,0,88760,0,0,0,0,0
185,0,88760,0,0,0,0,0
186,0,88760,0,0,0,0,0
187,0,88760,0,0,0,0,0
188,0,88760,0,0,0,0,0
189,0,88760,0,0,0,0,0
190,0,88760,0,0,0,0,0
191,0,88760,0,0,0,0,0
192,0,88760,0,0,0,0,0
193,0,88760,0,0,0,0,0
194,0,88760,0,0,0,0,0
195,0,88760,0,0,0,0,0
196,0,88760,0,0,0,0,0
197,0,88760,0,0,0,0,0
198,0,88760,0,0,0,0,0
199,0,88760,0,0,0,0,0
200,0,88760,0,0,0,0,0
201,0,88760,0,0,0,0,0
